번호,식품명,주재료,조리법,추천태그,이미지태그,지도검색어,description,ingredient,recipe,source,original name
27,채소전,"채소류, 밀가루, 식용유",후라이팬구이,"#한식, #요리",#반찬,전집,여러 가지 채소를 넣어 부친 전입니다.,"부추, 양파, 당근, 애호박, 밀가루, 달걀, 물, 양 념, 소금, 식용유(부침용)","1. 부추는 5cm 길이로 자르고 양파는 채 썬다.2. 당근과 애호박은 5cm 길이로 잘라 채 썰고 풋고추는 씨를 제거한 후, 곱게 채 썬다.[부치기]3. 큰 그릇에 손질한 채소를 모두 넣고 밀가루, 달걀, 물을 넣어 반죽한다.4. 달군 팬에 식용유를 두른 후, 한 숟가락씩 먹기 좋은 크기로 지지거나 한꺼번에 크게 부쳐썰어서 낸다.사용조미료 : 꽃소금, 식용유",팜킷,채소전
28,치즈닭갈비,"닭갈비, 치즈",볶음,"#한식, #요리, #음식점, #배달, #그룹",#탕찌개,닭갈비,매콤한 닭갈비를 치즈에 폭 찍어 먹으면 하루의 피로가 싹~  맛있게 매워 젓가락질을 멈출수 없는 치즈닭갈비랍니다. 첫 한입부터 마지막 볶음밥의 매력까지! 푸짐한 치즈닭갈비로 힘 나는 하루를 만들어보세요.,"닭다리살%500g, 고구마%1개, 양파%1/2개, 양배추%1/6통, 청양고추%1개, 홍고추%1개, 대파%1/2대, 깻잎%5장, 떡볶이 떡%1/2컵, 모차렐라치즈%2컵, 우유%1/2컵, 고추장%3큰술, 고춧가루%2큰술, 맛술%2큰술, 간장%1 ½큰술, 설탕%1큰술, 다진 마늘%1큰술, 올리고당%2큰술, 카레가루%1큰술, 생강즙%1큰술, 참기름%1큰술, 후추%약간, 깨%약간"," 닭은 껍질을 제거하고, 우유에 30분 정도 담갔다가 물에 헹궈 먹기 좋은 크기로 잘라주세요.볼에 양념장 재료를 넣고 고루 섞은 후 닭을 넣어 30분 정도 재워주세요. 양파는 채를 썰고 고구마, 양배추, 깻잎은 한입 크기로 썰어두고 대파와 청양고추, 홍고추는 어슷하게 썰어 준비해주세요. 달군 팬에 약간의 기름을 두르고 닭과 고구마를 넣어 볶다가 고구마가 살짝 익으면 양파와 양배추, 떡을 넣어 5분 정도 볶아주세요. 대파와 청양고추, 홍고추, 깻잎을 넣어 1분 정도 볶다가 모차렐라 치즈를 올린 후 팬뚜껑을 닫고, 약한 불에 3~5분 정도 익혀 치즈가 녹으면 불을 꺼주세요. 완성된 요리를 그릇에 담아 마무리해주세요.",우리의 식탁,치즈닭갈비
29,키조개구이,조개,후라이팬구이,"#한식, #요리, #저녁",#해산물,조개,관자를 버터에 구워 풍미를 더한 구이입니다.,"키조개, 양파, 풋고추, 홍고추, 양 념, 맛술, 초고추장","1. 키조개를 반으로 갈라 관자, 조갯살을 남기고 가운데에 있는 내장을 제거한다.2. 관자는 결 반대로 0.3cm 두께로 편 썬다.3. 조갯살은 2 × 2cm 크기로 썰어 조개껍데기 위에 올린다.4. 양파, 풋고추, 홍고추는 0.2 × 0.2cm 크기로 썬다.[굽기]5. 키조개에 양파, 풋고추, 홍고추를 올리고 맛술, 초고추장을 키조개에 뿌린 뒤석쇠에 올려 6분간 굽는다.사용조미료 : 맛술, 초고추장",팜킷,키조개구이
30,가자미구이,"가자미, 소금",후라이팬구이,"#한식, #한끼",#생선구이,생선구이,가자미를 손질하여 칼집을 넣고 팬에 구운 생선구이입니다.,"손질가자미, 양 념, 후춧가루, 소금, 식용유(굽는용)","1. 가자미는 잘 손질하여 칼집을 내고 후춧가루와 소금을 뿌린다.[굽기]2. 팬에 식용유를 두르고 1의 가자미를 노릇노릇하게 구워낸다.사용조미료 : 순후추, 천일염, 식용유",팜킷,가자미구이
31,간장양념닭다리구이,"닭고기, 간장",그릴구이,"#한식, #한끼, #저녁",#치킨,치킨,달콤짭조름한 간장양념에 재운 닭다리구이입니다.,"닭고기(다리), 양 념, 진간장, 설탕, 마늘, 후춧가루, 참기름, 대파, 식용유(굽는용)","1. 닭고기는 닭다리 살을 칼로 발라낸다.2. 발라낸 닭고기를 양념장에 30분간 재워둔다.3. 대파는 송송썰거나 다져준다.[양념장 만들기]4. 진간장, 설탕, 마늘, 후춧가루, 참기름, 대파를 섞어 양념장을 만들어준다.[굽기]5. 양념장에 재운 닭다리살을 식용유를 두른 팬에 구워 완성한다.사용조미료 : 진간장, 백설탕, 참기름, 순후추, 식용유",팜킷,간장양념닭다리구이
32,갈치구이,"갈치, 소금",후라이팬구이,"#한식, #한끼, #음식점, #그룹",#생선구이,생선구이,갈치를 손질하여 칼집을 넣고 소금을 뿌려 구운 생선구이입니다.,"갈치, 양 념, 소금, 식용유(굽는용)","1. 갈치는 싱싱한 것으로 골라 7~8cm 길이로 토막을 낸 후, 씻어서 2cm 간격으로 칼집을 낸다.2. 손질한 갈치에 소금을 뿌려 간이 배도록 30분 정도 채반에 밭쳐 둔다.[굽기]3. 가열한 팬에 식용유를 두르고 갈치를 바삭하게 구워 낸다.사용조미료 : 꽃소금, 식용유",팜킷,갈치구이
33,고등어구이,"고등어, 소금",후라이팬구이,"#한식, #한끼, #음식점, #그룹",#생선구이,생선구이,고등어를 노릇하게 구워 밥 한 그릇 뚝딱 할 수 있는 밥도둑 반찬입니다.,"고등어, 소금, 레몬즙","손질된 고등어를 키친타올로 닦아 물기를 제거한다. 반으로 자른후 소금, 레몬즙을 뿌린다. 에어프라이어 170도 15분간 구워 완성한다.에어프라이어",만 개의 레시피,고등어구이
34,고등어튀김,"고등어, 식용유",튀김,"#한식, #한끼",#생선구이,생선,고등어를 바삭하게 튀겨낸 후 간장소스를 끼얹은 요리입니다.,"고등어, 식용유(튀김용), 튀김가루","1. 고등어는 깨끗이 손질한 후 6cm 잘라서 준비한다.2. 손질한 고등어에 튀김가루를 입혀준다.[튀기기]3. 준비한 고등어를 170~180˚C로 예열한 기름에 5~7분간 튀겨낸다.사용조미료 : 식용유, 튀김가루",팜킷,고등어튀김
35,굴비구이,"굴비, 소금",후라이팬구이,"#한식, #한끼, #음식점, #그룹",#생선구이,생선구이,굴비를 석쇠에 구운 것으로 짭짤하고 고소한 맛이 일품입니다.,"굴 비, 식용유(굽는용), 양 념, 간 장, 참기름, 식용유","1. 굴비는 손질하여 가로로 칼집을 넣는다.[유장 만들기]2. 간장과 참기름, 식용유를 섞어 유장을 만든다.[굽기]3. 손질한 굴비는 앞뒤로 유장을 바른다.4. 석쇠 표면에 식용유를 충분히 발라 달군 후, 다시 석쇠에 식용유를 바른다.5. 달군 석쇠 위에 유장을 바른 굴비를 올려 약한 불에서 앞뒤로 노릇노릇하게 굽는다.사용조미료 : 양조간장, 참기름, 식용유",팜킷,굴비구이
36,꽁치구이,"꽁치, 소금",후라이팬구이,"#한식, #한끼",#생선구이,생선구이,꽁치를 석쇠에 구운 생선구이입니다.,"꽁치, 양 념, 소금",1. 꽁치는 비늘을 긁고 지느러미를 떼어 낸 후 깨끗이 씻는다.2. 손질한 꽁치에 칼집을 내어 소금을 살살 뿌려 둔다.[굽기]3. 소금간이 배었을 때 200℃로 예열된 오븐에서 25~30분 정도 노릇노릇하게 굽는다.사용조미료 : 꽃소금,팜킷,꽁치구이
37,낙지닭갈비,"닭고기, 고추장, 채소류, 낙지",볶음,"#한식, #한끼, #음식점, #배달",#탕찌개,닭갈비,통통한 낙지와 닭갈비를 매콤하게 볶아낸 볶음요리입니다.,"닭다리살, 낙지, 양배추, 양파, 깻잎, 대파, 청양고추, 홍고추, 팽이버섯, 떡국떡, 모짜렐라치즈, 김가루, 깨소금, 참기름, 멸치다시마육수, 양념장","닭다리살은 우유에 30분 정도 담갔다가 꺼내 키친타월로 물기를 제거한다. 낙지는 머리를 뒤집어 내장을 제거하고 굵은 소금으로 문질러 깨끗하게 씻는다. 다리 사이에 있는 입도 제거한다. 끓는 물에 낙지를 살짝 데친다. 가래떡은 4cm 길이로 자르고, 양파는 굵직하게 채 썬다. 양배추는 사방 3cm 크기로 썰고, 깻잎은 꼭지를 떼고 돌돌 말아 채 썬다. 대파는 어슷하게 썰고, 청양고추와 홍고추는 어슷하게 썬다. 팽이버섯은 밑동을 잘라 가닥가닥 떼어놓는다. 전골냄비에 모든 재료를 돌려 담고 가운데에 양념장을 올린다. 멸치다시",Clova AI, 
38,낙지볶음,"낙지, 고추장",볶음,"#한식, #한끼, #배달",#해산물,낙지,쫄깃쫄깃한 낙지에 후루룩 소리까지 맛있는 소면을 곁들여 낙지볶음을 만들었어요. 가을과 겨울이 제철인 낙지는 예로부터 보양재료로 사랑받고 있는데요~ 군침도는 양념을 활용해 즐겨보세요.,"낙지%3마리, 양파%1/2개, 대파%1/2대, 양배추%2잎, 청양고추%2개, 실파(생략가능)%1대, 참기름%약간, 통깨%약간, 밀가루%1/4컵, 굵은소금%1큰술, 고추기름%2큰술, 소면%200g, 고춧가루%3큰술, 간장%2큰술, 맛술%1큰술, 고추장%1큰술, 올리고당%1큰술, 다진마늘%1큰술, 설탕%1큰술, 생강즙%1/2큰술, 후춧가루%약간"," 낙지는 내장과 먹물을 뺀 후 굵은소금과 밀가루로 바락바락 문질러 씻은 다음, 끓는 물에 살짝 데쳐 먹기 좋은 크기로 잘라주세요. 양배추와 양파는 굵게 채로 썰고, 대파와 청양고추는 어슷하게 썰어주세요. 실파는 송송 썰어주세요. 팬에 고추기름을 두르고, 약한불에서 양념장을 넣어 1분 정도 볶다가 양파와 양배추를 넣어 볶아주세요. 양파가 익으면 낙지와 대파, 청양고추를 넣고 양념과 재료가 고루 섞이도록 빠르게 볶다가 불을 끄고 참기름을 뿌려주세요. 끓는 물에 소면을 넣고 물이 끓어오르면 2~3번 찬물을 넣어 국수를 삶은 후 찬물에 헹궈 동그랗게 사리를 지어주세요. 접시에 낙지볶음을 담고 통깨와 실파를 뿌려준 후 소면사리를 곁들여주세요.",우리의 식탁,낙지볶음
39,닭고기대파구이,"닭고기, 대파, 소금",그릴구이,"#한식, #한끼, #음식점, #저녁",#고기,닭꼬치,"한 입에 쏙쏙 빼먹다 보면, 어느새 막대기만 남아 입맛만 다시게 되는 매운 닭꼬치구이예요. 닭다리살을 사용해 부드럽고, 구워진 파는 달큰한 맛을 더해주죠. 꼬치에 재료를 끼울 때도, 소스를 넉넉히 발라 구울 때도 맛있는 추억 이야기가 샘솟는 답니다. ","닭다리살(6쪽)%500g, 대파%2대, 우유%1/2컵, 실파%1대, 청주%2큰술, 생강즙%1작은술, 후추%약간, 맛술%2큰술, 올리고당%2큰술, 간장%1큰술, 케첩%1큰술, 고추장%1큰술, 고춧가루%1큰술, 다진마늘%1/2큰술, 후추%약간"," 닭고기는 우유에 20분정도 담갔다가 물에 씻어낸 후, 한 입 크기로 잘라 밑간 재료에 10분정도 재워주세요. 대파는 3센치 길이로 썰고, 볼에 양념재료를 넣고 섞어주세요. 달군 팬에 약간의 기름을 두른 후, 닭고기를 넣고 앞뒤 노릇하게 익혀주세요. 꼬치에 닭고기와 대파를 번갈아 끼운 후 양념을 발라주세요. 달군 팬에 닭고기 대파 꼬치를 올리고, 중약불에서 양념을 앞뒤에 발라가며 구워주세요. 송송 썬 실파를 뿌려 완성해주세요.",우리의 식탁,매운닭꼬치구이
40,닭구이,닭고기,그릴구이,"#한식, #한끼, #음식점",#고기,닭꼬치,닭다리살을 이용해 만든 구이입니다.,"닭고기(토막), 닭고기 밑간, 소금, 후춧가루, 올리브유","[밑간하기]1. 닭고기는 소금, 올리브유, 후춧가루를 넣고 밑간을 한 후 20분 정도 재워준다.[굽기]2. 밑간한 닭고기를 오븐이나 팬에 10~15분간 구워준다.사용조미료 : 꽃소금, 순후추, 올리브유",팜킷,닭구이
41,돼지고기산적,"돼지고기, 간장, 설탕",후라이팬구이,"#한식, #한끼",#불고기,돼지갈비,"돼지고기와 버섯, 채소를 꼬치에 끼워 만든 산적입니다.","돼지고기(등심), 돼지고기 삶을 때, 소금, 된장, 물(삶는용), 양 념 장, 다진파, 다진마늘, 깨소금, 참기름, 소금, 식용유(굽는용)","1. 돼지고기는 찬물에 넣고 소금과 된장을 넣어 1시간정도 삶는다.2. 삶은 돼지고기는 직사각형으로 썰어(7 ×1.5 × 0.5cm) 양념한다.[양념장 만들기]3. 소금, 다진 파, 마늘, 깨소금, 참기름을 잘 섞어 양념장을 만들어준다.[꼬치만들기]4. 꼬치에 2의 양념한 돼지고기를 9개 정도 끼워 준비한다.5. 식용유를 두른 팬에 꼬치를 올려 노릇하게 지진다.사용조미료 : 된장, 꽃소금, 식용유, 볶음참깨, 참기름",팜킷,돼지고기산적
42,돼지불고기,"돼지고기, 간장, 설탕",볶음,"#한식, #한끼, #음식점, #그룹",#불고기,돼지갈비,불고기용 돼지고기에 갖은 양념을 하여 만든 한국식 대표 음식입니다.,"돼지고기(목살), 양파, 풋고추, 양 념, 간장, 설탕, 다진파, 다진마늘, 후춧가루, 깨소금, 참기름","1. 돼지고기는 5 × 5 × 0.3cm 크기로 썬다.2. 양파는 굵게 채 썰고(5 × 0.3 × 0.3cm), 풋고추는 0.3cm 두께로 어슷썰기 한다.[볶기]3.분량의 양념재료(간장, 설탕, 다진파, 다진마늘, 후춧가루, 깨소금, 참기름)를 잘 섞어 간장양념장을만들고 1의 돼지고기에 양념장을 넣어 재운다.4. 팬을 달군 후 2의 채소(양파, 풋고추)와 양념한 돼지고기를 넣고 볶아서 완성한다.사용조미료 : 양조간장, 백설탕, 순후추, 볶음참깨, 참기름",팜킷,돼지불고기
43,돼지안심스테이크,돼지고기,그릴구이,"#한식, #한끼, #음식점",#스테이크,스테이크,돼지 안심을 두툼하게 썰어 구운 스테이크입니다.,"돼지안심, 파프리카, 브로콜리, 방울토마토, 파인애플, 새송이버섯, 가지, 버터, 올리브오일, 소금, 후추, 발사믹식초, 올리고당, 돈가스소스, 케첩, 우스터소스, 핫소스, 레드와인, 바질가루","돼지안심은 힘줄을 제거하고 칼등으로 두드려 부드럽게 한다. 돼지안심에 소금, 후추를 뿌리고 올리브유를 발라 마리네이드한다. 파프리카, 브로콜리, 방울토마토, 파인애플, 새송이버섯, 가지는 먹기 좋은 크기로 썬다. 달군 팬에 버터와 올리브오일을 두르고 안심을 올린 후 앞 뒤로 노릇하게 굽는다. 접시에 구운 안심을 담고 가니쉬를 곁들인다.",Clova AI, 
44,등심스테이크,"돼지고기, 소금",그릴구이,"#한식, #한끼, #음식점, #그룹",#스테이크,스테이크,쇠고기 등심을 구운 스테이크입니다.,"소고기등심, 버터, 올리브오일, 로즈마리, 타임, 소금, 후추, 파프리카, 아스파라거스, 방울토마토, 버섯, 마늘, 발사믹식초, 레드와인, 우스터소스, 돈가스소스, 올리고당, 케첩, 핫소스","소고기등심은 칼등으로 두드려 연육시키고 소금, 후추, 올리브오일, 로즈마리, 타임으로 마리네이드한다. 뜨겁게 달군 팬에 버터를 녹인 후, 마리네이드한 등심을 올린다. 한쪽 면이 충분히 익으면 뒤집어 반대쪽도 익혀준다. 익힌 등심은 호일에 싸서 레스팅한다. 파프리카, 아스파라거스, 방울토마토, 버섯, 마늘은 가니쉬로 준비한다. 발사믹식초, 레드와인, 우스터소스, 돈가스소스, 올리고당, 케첩, 핫소스를 섞어 소스를 만든다. 접시에 등심스테이크와 가니쉬를 담고 소스를 곁들인다.",Clova AI, 
45,떡갈비,"다진소고기, 간장, 설탕",후라이팬구이,"#한식, #한끼, #음식점, #배달, #그룹",#불고기,떡갈비,소고기와 돼지고기를 다져 만든 떡갈비입니다.,"쇠갈비살, 양 념, 국간장, 설탕, 다진파, 다진마늘, 참기름, 소금","1. 쇠갈비살은 기름기와 힘줄을 제거하고 곱게 다진다.[양념장 만들기]2. 양념의 재료(국간장, 설탕, 다진파, 다진마늘, 참기름, 소금)를 섞어 양념장을 만든다.[굽기]3. 다진 고기에 양념장을 넣고 잘 치대어 둥글게 모양을 만든다.4. 팬에 식용유를 두르고 약한 불에서 3의 떡갈비가 속까지 익도록 굽는다.사용조미료 : 국간장, 백설탕, 참기름, 꽃소금",팜킷,떡갈비
46,묵은지삼겹살볶음,"김치, 돼지고기",볶음,"#한식, #한끼",#석쇠구이,삼겹살,삼겹살과 묵은지를 함께 볶아 만든 김치찜입니다.,"배추김치, 돼지고기(삼겹살), 양파, 대파, 식용유(볶음용), 양 념, 청주, 올리고당, 후춧가루, 들기름","1. 묵은지는 3 X 4cm로 썰어 준비한다.2. 양파는 두껍게 채 썰어준다.3. 대파는 3cm 길이로 어슷썰어준다.4. 삼겹살은 4 X 5cm로 썰어 청주를 넣어 10분간 재워둔다.[볶기]5. 팬에 기름을 두르고 양파를 볶다 김치, 올리고당을 넣어 볶아준다.6. 팬에 삽겹살을 넣고 익으면 대파, 후춧가루, 들기름을 넣어 마무리 해준다.사용조미료 : 청주, 순후추, 들기름, 식용유, 올리고당",팜킷,묵은지삼겹살볶음
